epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,86.6919,0.30498,0.27216,0.83453,0.94423,0.96635,0.995,0.89214,0.63527,0.32457,1.32345,0.000537733,0.000537733,0.000537733
65,88.1287,0.29681,0.23252,0.81402,0.94035,0.96963,0.995,0.8811,0.66064,0.33396,1.37393,0.000523586,0.000523586,0.000523586
66,89.4112,0.29766,0.21695,0.8241,0.96821,0.99153,0.995,0.8827,0.67794,0.32659,1.40009,0.000509438,0.000509438,0.000509438
67,90.7118,0.2873,0.24362,0.80308,0.96762,0.99227,0.995,0.8749,0.67998,0.32953,1.39551,0.000495291,0.000495291,0.000495291
68,92.0625,0.27588,0.23629,0.80608,0.96724,0.96588,0.995,0.87332,0.68815,0.34252,1.42364,0.000481144,0.000481144,0.000481144
69,93.4117,0.31799,0.24276,0.80841,0.95232,0.99096,0.995,0.85566,0.7102,0.32945,1.46319,0.000466997,0.000466997,0.000466997
70,94.7798,0.28171,0.21567,0.78792,0.97122,0.96774,0.995,0.85328,0.71192,0.34217,1.47914,0.00045285,0.00045285,0.00045285
71,96.0463,0.28627,0.22832,0.815,0.96831,0.97446,0.995,0.85016,0.72785,0.3473,1.49698,0.000438703,0.000438703,0.000438703
72,97.3214,0.29617,0.24469,0.83638,0.94216,0.99303,0.995,0.84016,0.78106,0.40765,1.53985,0.000424556,0.000424556,0.000424556
73,98.6382,0.28072,0.23954,0.81284,0.92105,0.99067,0.995,0.84351,0.77861,0.42591,1.54704,0.000410409,0.000410409,0.000410409
74,100.059,0.28616,0.23207,0.78523,0.91873,0.9909,0.995,0.85949,0.80357,0.43489,1.58399,0.000396262,0.000396262,0.000396262
75,101.328,0.2997,0.22727,0.82436,0.93352,0.99193,0.995,0.86056,0.78964,0.40227,1.58125,0.000382115,0.000382115,0.000382115
76,102.657,0.25904,0.20924,0.79801,0.96895,1,0.995,0.8805,0.73165,0.32282,1.57671,0.000367967,0.000367967,0.000367967
77,103.919,0.28907,0.21565,0.83404,0.96327,1,0.995,0.88174,0.71867,0.307,1.57229,0.00035382,0.00035382,0.00035382
78,105.166,0.29591,0.20703,0.81886,0.96152,0.99607,0.995,0.84465,0.7436,0.30044,1.5933,0.000339673,0.000339673,0.000339673
79,106.384,0.27533,0.21222,0.84568,0.97389,1,0.995,0.83365,0.77843,0.30445,1.61572,0.000325526,0.000325526,0.000325526
80,107.708,0.25756,0.20053,0.7893,0.9763,0.99605,0.995,0.81169,0.78553,0.30826,1.59143,0.000311379,0.000311379,0.000311379
81,108.959,0.29391,0.21553,0.79286,0.97384,0.99348,0.995,0.86793,0.77378,0.31004,1.57191,0.000297232,0.000297232,0.000297232
82,110.261,0.27997,0.21131,0.81394,0.97095,0.99228,0.995,0.86702,0.75983,0.30411,1.5506,0.000283085,0.000283085,0.000283085
83,111.516,0.26209,0.20398,0.80537,0.96551,0.99068,0.995,0.86951,0.75048,0.29446,1.53239,0.000268938,0.000268938,0.000268938
84,112.842,0.26026,0.20611,0.7926,0.98187,0.96593,0.995,0.86064,0.76481,0.30975,1.54122,0.000254791,0.000254791,0.000254791
85,114.212,0.26631,0.19471,0.79054,0.98116,0.96671,0.995,0.87398,0.7665,0.30462,1.54138,0.000240644,0.000240644,0.000240644
